canvas_id,vendor_guid,object_type,title,description,display_name,calculation_method,calculation_int,parent_guids,workflow_state,mastery_points,ratings,,,,,,,
,ACTFL,group,ACTFL: Can-Do Statements,"Aligned with the ACTFL Proficiency Guidelines 2012 and the ACTFL Performance Descriptors for Language Learners the Can-Do Statements reflect the continuum of growth in communication skills through the Novice, Intermediate, Advanced, Superior, and Distinguished levels.",ACTFL: Can-Do Statements,,,,active,,,,,,,,,
,NOVICE,group,1. Novice,Novice,Novice Communication,,,ACTFL,active,,,,,,,,,
,NOVINTERPRETIVE,outcome,Interpretive,"I can identify the general topic and some basic information in both very familiar and everyday contexts by recognizing practiced or memorized words, phrases, and simple sentences in texts that are spoken, written, or signed.",Interpretive - Novice,n_mastery,,NOVICE,active,1,3,High,2,Mid,1,Low,0,Not evaluated
,NOVINTERPERSONAL,outcome,Interpersonal,"I can communicate in spontaneous spoken, written, or signed conversations on both very familiar and everyday topics, using a variety of practiced or memorized words, phrases, simple sentences, and questions.",Interpersonal - Novice,n_mastery,,NOVICE,active,1,3,High,2,Mid,1,Low,0,Not evaluated
,NOVPRESENTATIONAL,outcome,Presentational,"I can present information on both very familiar and everyday topics using a variety of practiced or memorized words, phrases, and simple sentences through spoken, written, or signed language.",Presentational - Novice,n_mastery,,NOVICE,active,1,3,High,2,Mid,1,Low,0,Not evaluated
,NOVEINVESTIGATE,outcome,Investigate,In my own and other cultures I can identify products and practices to help me understand perspectives.,Investigate - Novice,n_mastery,,NOVICE,active,1,3,High,2,Mid,1,Low,0,Not evaluated
,NOVEINTERACT,outcome,Interact,I can interact at a survival level in some familiar everyday contexts.,Interact - Novice,n_mastery,,NOVICE,active,1,3,High,2,Mid,1,Low,0,Not evaluated
,INTERMEDIATE,group,2. Intermediate,Intermediate,Intermediate Communication,,,ACTFL,active,,,,,,,,,
,INTINTERPRETIVE,outcome,Interpretive,"I can understand the main idea and some pieces of information on familiar topics from sentences and series of connected sentences within texts that are spoken, written, or signed.",Interpretive - Intermediate,n_mastery,,INTERMEDIATE,active,1,3,High,2,Mid,1,Low,0,Not evaluated
,INTINTERPRESONAL,outcome,Interpersonal,"I can participate in spontaneous spoken, written, or signed conversations on familiar topics, creating sentences and series of sentences to ask and answer a variety of questions.",Interpersonal - Intermediate,n_mastery,,INTERMEDIATE,active,1,3,High,2,Mid,1,Low,0,Not evaluated
